pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-2635.163556,-8789.115154,19.531732]",935,3756,1.768176,2.872923,258.824066,264.391344,76535.500000,81252.445313,55170.417969,59887.359375,21365.080078,21365.080078,0.000000,0.000000,0.557143,0.507937,
"[-3332.895743,-8740.252155,21.676344]",740,965,1.827105,3.348609,159.121384,175.664327,83548.273438,82980.304688,62183.195313,61615.222656,21365.080078,21365.080078,0.000000,0.000000,0.438095,0.458730,
"[-2763.589792,-9347.189122,12.045907]",3167,3243,2.430792,1.593669,342.669006,283.229050,78649.906250,79573.812500,57284.820313,58208.730469,21365.080078,21365.080078,0.000000,0.000000,0.533333,0.523810,
"[-3449.906314,-9012.815548,36.940580]",1830,497,2.017595,1.997029,105.040726,52.728827,82680.156250,82142.679688,61315.074219,60777.589844,21365.080078,21365.080078,0.000000,0.000000,0.209524,0.241270,
"[-3219.779929,-8776.571521,21.185566]",885,1418,1.205789,2.238261,281.255951,294.120923,97674.101563,97619.062500,76309.039063,76254.000000,21365.080078,21365.080078,0.000000,0.000000,0.196825,0.200000,
"[-3376.644602,-9196.631897,17.391506]",2565,790,0.958829,2.262713,304.928894,341.498790,53726.980469,53878.636719,32361.896484,32513.552734,21365.080078,21365.080078,0.000000,0.000000,0.728571,0.726984,
"[-2691.536798,-9382.768650,9.882244]",3310,3531,1.026940,1.765578,237.102127,252.335431,83955.250000,85096.429688,62590.179688,63731.359375,21365.080078,21365.080078,0.000000,0.000000,0.411111,0.403175,
"[-3142.019102,-9238.500055,15.214081]",2733,1729,0.308850,2.523887,225.723953,338.994873,84346.867188,83352.421875,62981.792969,61987.347656,21365.080078,21365.080078,0.000000,0.000000,0.426984,0.438095,
"[-3265.509741,-8857.415740,20.146791]",1208,1235,3.114661,4.601360,187.240234,127.752361,87672.046875,87744.804688,66306.960938,66379.718750,21365.080078,21365.080078,0.000000,0.000000,0.387302,0.382540,
"[-2747.104229,-8987.190217,18.194475]",1727,3309,2.287708,2.568751,122.757576,110.895804,57404.914063,58891.808594,36039.832031,37526.726563,21365.080078,21365.080078,0.000000,0.000000,0.726984,0.714286,
"[-2955.977331,-8811.142177,21.838356]",1023,2473,1.806260,4.607346,228.565170,231.984013,72885.968750,75195.359375,51520.898438,53830.281250,21365.080078,21365.080078,0.000000,0.000000,0.569841,0.549206,
"[-3090.447154,-9170.468501,15.776484]",2460,1935,1.077864,0.515928,300.227600,192.712640,50892.687500,51106.378906,29527.603516,29741.296875,21365.080078,21365.080078,0.000000,0.000000,0.704762,0.698413,
"[-3369.526599,-8974.747471,19.777799]",1678,819,0.724303,1.978267,46.791248,307.077821,86456.703125,86235.640625,65091.621094,64870.558594,21365.080078,21365.080078,0.000000,0.000000,0.395238,0.400000,
"[-2603.535448,-8978.951102,15.509038]",1694,3883,2.794445,0.642290,211.641861,119.958694,88961.132813,90712.406250,67596.046875,69347.320313,21365.080078,21365.080078,0.000000,0.000000,0.365079,0.350794,
"[-3371.440401,-8928.574795,19.743425]",1493,811,0.568576,2.113975,27.178198,192.121448,94777.195313,94719.734375,73412.117188,73354.648438,21365.080078,21365.080078,0.000000,0.000000,0.295238,0.296825,
"[-3176.635428,-9484.429247,36.203642]",3716,1590,2.087694,2.019891,309.156097,283.349509,85433.429688,87673.125000,64068.355469,66308.054688,21365.080078,21365.080078,0.000000,0.000000,0.431746,0.403175,
"[-3486.268566,-8914.450597,17.571819]",1436,352,3.651684,0.596047,277.286865,15.578232,72139.460938,60279.195313,50774.382813,38914.121094,21365.080078,21365.080078,0.000000,0.000000,0.468254,0.668254,
"[-2772.218693,-9545.062411,9.079874]",3959,3208,0.912678,1.862218,111.890579,27.279123,95105.664063,97296.140625,73740.585938,75931.062500,21365.080078,21365.080078,0.000000,0.000000,0.284127,0.200000,
"[-3296.869246,-8838.448960,19.416742]",1132,1109,2.066709,1.911423,358.361420,93.108635,94108.937500,94374.054688,72743.859375,73008.976563,21365.080078,21365.080078,0.000000,0.000000,0.311111,0.303175,
"[-3343.371295,-9056.869594,19.628456]",2006,923,0.581782,1.298140,218.663162,349.700980,95735.320313,95743.781250,74370.242188,74378.710938,21365.080078,21365.080078,0.000000,0.000000,0.260317,0.260317,
"[-2858.507693,-8839.087912,21.092041]",1135,2863,0.878685,1.800399,2.648021,310.359627,48818.191406,49781.359375,27453.115234,28416.283203,21365.080078,21365.080078,0.000000,0.000000,0.744444,0.725397,
"[-2834.299767,-9225.519245,14.646401]",2681,2960,3.262835,2.492539,81.901749,97.198467,75000.539063,75949.664063,53635.453125,54584.578125,21365.080078,21365.080078,0.000000,0.000000,0.522222,0.512698,
